Site,Fauna ,Basin,Taxon,OR.fifty,Fif.low,Fif.high,OR.eighty,Eight.low,Eight.high,E.shoots,I.shoots,Mn.shoots,Mn.crust,RespRaCrustFif,RespRaEpiFif,RespRaSDFif,RespRaCalcSDFif,RespRaCrustEig,RespRaEpiEig,RespRaSDEig,RespRaCalcSDEig
BB,Large,P,crab,1.146,0.465,2.822,1.356,0.542,3.393,265.01,231.4,254.61,0.14778,-0.313116787,-0.541650946,-0.105928839,0.587218342,-0.308308814,-0.35973114,0.160536145,1.769974057
CR,Large,A,shrimp,0.576,0.239,1.386,0.507,0.209,1.229,948,728,816.54,0.00129,0.142550192,-0.039985542,1.262614389,1.955827382,-0.596860712,0.002791763,1.286070635,2.895651799
FI,Large,A,shrimp,1.705,0.621,4.678,1.973,0.736,5.287,233.3,216.1,223.91,0.02605,0.08674958,0.308680937,0.057727469,0.750874649,0.463760267,0.172045128,0.092602127,1.702040039
FR,Large,A,shrimp,0.935,0.368,2.379,2.029,0.726,5.668,200.2,253,227.01,0.0889,-0.079485861,0.635580182,0.03908135,0.73222853,-0.00524817,0.400616803,-0.087861356,1.521576557
IR,Large,A,crab,0.695,0.329,1.471,0.866,0.411,1.823,25.4,47.6,37.9,0.00005,0,0.315938723,-0.0166825,0.676464681,0,0.065103314,0.041990902,1.651428814
JN,Large,P,shrimp,1.099,0.469,2.578,1.082,0.461,2.537,124.8,113.9,112.39,0.00717,-0.788574613,0.078071645,0.15618024,0.84932742,-0.561899593,-0.038076456,0.121837808,1.731275721
JS,Large,P,shrimp,1.552,0.652,3.694,1.197,0.521,2.752,20.8,55.35,35.99,0.0069,0.161312768,-0.127717983,0.573057801,1.266204982,-0.148243836,-0.262949234,0.707288739,2.316726652
KOA,Large,P,shrimp,0.411,0.165,1.023,1.279,0.466,3.51,253.3,218.5,236.65,0.00564,0.32245793,0.342175556,0.008603886,0.701751066,0.238374513,-0.074918244,0.005690392,1.615128304
KOB,Large,P,shrimp,0.411,0.165,1.023,1.279,0.466,3.51,371.9,298.8,332.87,0.02775,-0.228404365,-0.789753943,0.224760165,0.917907346,-1.880707255,-0.260552553,0.071014542,1.680452454
MX,Large,P,crab,0.899,0.427,1.895,0.568,0.266,1.216,935,1169,1079.81,0.2054,-0.018145517,0.696434474,-0.051010757,0.642136445,-0.349355473,0.754677694,-0.000895871,1.608542047
NC,Large,A,shrimp,NA,NA,NA,NA,NA,NA,627.9,544.4,598.8,0.0567,-0.516082865,-0.039655437,-0.076617599,0.616529581,-0.827589578,-0.256157551,-0.188738766,1.420699146
OR,Large,P,shrimp,1.164,0.343,3.948,3.951,0.787,19.834,115.2,86.3,97.89,0.02527,-0.492098428,-0.240601366,0.027989306,0.721136487,-0.174799643,-0.14339844,0.154234323,1.763672236
QU,Large,A,crab,1.038,0.484,2.228,1.164,0.542,2.498,566.6,690.7,630.38,0.00291,-2.042701565,0.113912889,-0.08640859,0.60673859,-1.132747775,-0.19458255,-0.033849971,1.575587942
SD,Large,P,crab,1.826,0.848,3.931,1.826,0.848,3.931,641,759,677.79,0.09995,-0.281714849,0.109534011,-0.092886941,0.60026024,-0.546362603,-0.088655796,0.077752412,1.687190324
SF,Large,P,shrimp,0.995,0.395,2.51,0.646,0.269,1.555,49.4,60.1,54.68,0.04248,0.32718951,0.135488543,-0.016298382,0.676848799,0.134133415,0.073564211,-0.062188344,1.547249569
VA,Large,A,shrimp,1.43,0.228,8.964,1.032,0.198,5.376,1254,1690,1436.09,0.01656,-0.07142057,-0.137384124,-0.008671602,0.684475579,-0.120984234,-0.038992089,0.05227012,1.661708032
WA,Large,P,crab,0.666,0.303,1.466,1.336,0.604,2.956,85.7,91.8,89.58,0.02051,0.157097464,-0.485512427,0.093043304,0.786190485,0.121971081,-0.640560422,0.001254705,1.610692618
